ProteinID,Gene,Description,control_1 Intensity,control_2 Intensity,control_3 Intensity,treatment_1 Intensity,treatment_2 Intensity,treatment_3 Intensity
P17980,PSMC3,26S proteasome regulatory subunit 6A,23.3041,21.4184,22.4446,24.6617,22.9953,23.3008
P17987,TCP1,T-complex protein 1 subunit alpha,28.0051,28.5266,28.458,30.041,28.7813,29.0486
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,26.1774,25.5143,25.9134,28.2677,28.1354,24.9362
P18077,RPL35A,60S ribosomal protein L35a,29.5372,28.6863,28.5537,28.5339,29.2971,29.5749
P18124,RPL7,60S ribosomal protein L7,32.2122,30.9716,30.2228,30.6642,30.1108,29.9357
P18206,VCL,Vinculin,23.7839,23.3403,24.2604,24.6676,24.7123,24.6433
P18583,SON,Protein SON,30.4509,30.185,30.5385,27.8377,30.1583,28.6649
P18621,RPL17,60S ribosomal protein L17,29.9859,29.1661,28.6703,28.536,28.3906,27.9366
P18669,PGAM1,Phosphoglycerate mutase 1,26.8132,27.432,27.0771,28.8256,27.5529,27.8991
P18754,RCC1,Regulator of chromosome condensation,30.1224,29.5432,30.0234,29.8863,30.3495,30.4978
P18887,XRCC1,DNA repair protein XRCC1,22.1443,21.4403,21.6619,22.5246,22.0029,22.1165
P19022,CDH2,Cadherin-2,26.6328,26.5511,26.7115,29.1082,29.8945,29.4484
P19338,NCL,Nucleolin,33.2035,33.3825,33.3039,31.879,33.0316,32.9267
P19367,HK1,Hexokinase-1,30.5702,30.3568,30.405,32.0361,32.0962,31.8982
P19387,POLR2C,DNA-directed RNA polymerase II subunit RPB3,21.8909,20.7699,20.095,23.4932,22.4285,21.9816
P19404,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",23.1032,21.907,25.7209,24.8144,23.0439,24.6926
P19525,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",21.3097,22.3111,21.9344,21.6694,22.425,22.2339
P19623,SRM,Spermidine synthase,22.8488,21.078,21.4345,25.997,24.6312,25.3266
P19784,CSNK2A2,Casein kinase II subunit alpha',24.7136,21.4095,21.7158,25.569,23.0239,22.1253
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1,26.2922,23.0236,23.5964,25.8029,25.7217,26.4487
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,24.0589,24.2755,23.68,24.3013,23.3133,22.8054
P20339,RAB5A,Ras-related protein Rab-5A,24.7758,23.2843,20.6885,26.3816,24.5699,24.3532
P20618,PSMB1,Proteasome subunit beta type-1,24.9236,20.8647,24.4105,25.2153,24.2232,22.4169
P20671,HIST1H2AD,Histone H2A type 1-D,26.4746,26.3603,25.5545,25.0918,25.1843,25.8563
P20674,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial",27.3167,28.2686,27.7282,28.6918,29.0754,28.5019
P20700,LMNB1,Lamin-B1,32.4624,32.6584,32.8645,34.2851,34.5032,34.6675
P20933,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,20.4127,20.3646,21.8953,27.2929,25.7875,27.1292
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",24.3568,21.8783,26.1942,27.3315,27.0951,27.5071
P21283,ATP6V1C1,V-type proton ATPase subunit C 1,23.2075,21.5355,22.3425,23.575,22.4479,22.6219
P21333,FLNA,Filamin-A,29.1273,27.6302,28.1616,28.9331,28.4983,27.8931
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,30.0589,30.1722,30.4031,32.4867,32.7006,32.2966
P21912,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",27.7521,27.8538,28.1663,28.2517,28.3183,28.4786
P21926,CD9,CD9 antigen,25.2821,25.2572,25.1919,26.0047,25.7156,25.3068
P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",24.5994,24.2825,24.2353,25.5672,24.5287,25.099
P21964,COMT,Catechol O-methyltransferase,26.6917,25.1058,24.9672,27.4568,27.5041,25.2442
P22033,MUT,"Methylmalonyl-CoA mutase, mitochondrial",25.4691,21.56,25.3562,25.8015,26.8446,26.5857
P22059,OSBP,Oxysterol-binding protein 1,24.2806,23.1587,21.4365,25.7795,26.1731,25.5745
P22087,FBL,rRNA 2'-O-methyltransferase fibrillarin,31.5993,30.7617,30.7121,30.2647,30.7911,31.0294
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,24.5285,25.0685,25.245,27.189,26.3013,25.8035
P22234,PAICS,Multifunctional protein ADE2,28.4476,27.6714,27.5825,28.8066,27.9462,28.3112
P22307,SCP2,Non-specific lipid-transfer protein,24.4596,25.7416,25.2517,24.9423,26.9541,25.4106
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,29.3821,29.2343,29.0271,30.9157,29.7289,29.9991
P22392,NME2,Nucleoside diphosphate kinase B,29.0961,29.7982,29.8381,31.5882,31.1686,31.6183
P22413,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,24.8526,22.1423,24.0089,26.9195,27.4412,27.0148
P22570,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",25.8692,24.4008,24.6569,27.2422,26.4881,27.2263
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,33.2921,33.6017,33.3998,32.59,32.8548,32.9769
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",30.0614,30.1759,30.1746,32.0718,32.0457,31.7005
P22830,FECH,"Ferrochelatase, mitochondrial",25.4583,22.593,22.9875,21.6606,24.4053,23.985
P23229,ITGA6,Integrin alpha-6,21.0119,23.1754,21.1651,23.7681,24.0105,25.9138
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",32.5463,32.5312,32.7637,32.1915,32.5128,32.3109
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,30.1079,30.1512,30.4082,30.5598,30.4959,30.2979
P23368,ME2,"NAD-dependent malic enzyme, mitochondrial",28.948,27.3001,27.7464,28.6224,28.4063,28.571
P23378,GLDC,"Glycine dehydrogenase (decarboxylating), mitochondrial",24.911,21.592,24.3532,25.8732,25.7989,20.497
P23381,WARS,"Tryptophan--tRNA ligase, cytoplasmic",24.3352,24.1681,24.227,25.0544,21.9702,22.1061
P23396,RPS3,40S ribosomal protein S3,28.9666,28.9288,28.5312,29.9995,29.6836,29.6186
P23434,GCSH,"Glycine cleavage system H protein, mitochondrial",21.0773,23.6001,21.2916,22.9757,23.3345,24.8013
P23526,AHCY,Adenosylhomocysteinase,27.2948,26.4114,26.6741,28.9025,26.7191,27.2113
P23528,CFL1,Cofilin-1,26.536,26.3159,26.6489,27.695,25.1304,26.7097
P23588,EIF4B,Eukaryotic translation initiation factor 4B,21.213,20.8859,21.2417,24.4649,22.0893,21.8365
P23786,CPT2,"Carnitine O-palmitoyltransferase 2, mitochondrial",26.7056,26.7727,27.7553,28.5371,28.4568,27.955
P23919,DTYMK,Thymidylate kinase,23.1316,22.812,19.636,24.5439,24.252,23.9151
P24534,EEF1B2,Elongation factor 1-beta,21.8185,24.0361,23.8529,24.563,21.9352,21.7068
P24539,ATP5F1,"ATP synthase F(0) complex subunit B1, mitochondrial",28.0747,26.6223,27.5455,28.5148,28.3969,26.8836
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",29.9323,30.0795,30.1921,30.8164,30.5725,30.7595
P24821,TNC,Tenascin,21.7723,22.4688,22.3413,25.3901,24.7344,24.4375
P25205,MCM3,DNA replication licensing factor MCM3,26.2456,25.8827,25.9294,27.7164,27.6199,26.9598
P25325,MPST,3-mercaptopyruvate sulfurtransferase,26.439,25.8656,25.6911,27.6177,27.3783,27.5874
P25398,RPS12,40S ribosomal protein S12,25.8748,26.5998,26.8394,27.6479,26.7821,27.5724
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",32.723,32.9303,32.6798,33.2954,33.3279,33.2473
P25786,PSMA1,Proteasome subunit alpha type-1,26.1775,21.5107,25.3762,27.0281,26.2385,26.5109
P25787,PSMA2,Proteasome subunit alpha type-2,24.1852,25.0126,25.0403,26.7584,24.6636,25.2958
P25788,PSMA3,Proteasome subunit alpha type-3,21.5154,21.9063,21.9974,25.2498,21.4361,22.0067
P25789,PSMA4,Proteasome subunit alpha type-4,22.2423,23.9522,22.072,25.833,23.7732,24.5651
P26038,MSN,Moesin,23.9785,25.2496,22.5179,27.1051,27.6994,27.0814
P26232,CTNNA2,Catenin alpha-2,24.934,25.0078,25.3878,25.57,22.6663,22.4831
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,28.6093,28.7229,28.8674,28.7918,29.165,29.6552
P26373,RPL13,60S ribosomal protein L13,32.0083,31.4158,30.8713,29.9216,31.1675,30.2803
P26599,PTBP1,Polypyrimidine tract-binding protein 1,31.7214,31.419,31.6574,31.771,31.9508,31.8961
P26639,TARS,"Threonine--tRNA ligase, cytoplasmic",22.8052,24.5452,23.1433,26.5678,25.4577,24.8273
P26641,EEF1G,Elongation factor 1-gamma,29.8298,29.9989,29.7378,30.8771,30.0597,29.9614
P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,21.6282,24.3421,23.4786,26.1356,27.0919,27.4321
P27105,STOM,Erythrocyte band 7 integral membrane protein,24.6927,23.8047,24.513,27.9036,28.2926,28.0005
P27144,AK4,"Adenylate kinase 4, mitochondrial",25.0939,26.3879,26.449,27.5157,27.4495,27.2983
P27635,RPL10,60S ribosomal protein L10,29.7536,27.9126,27.8605,28.1782,27.7712,27.393
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,23.4867,22.6064,22.9883,24.8425,22.8099,22.4082
P27695,APEX1,DNA-(apurinic or apyrimidinic site) lyase,25.99,23.2764,23.0424,26.327,24.5775,24.1273
P27708,CAD,CAD protein,23.2558,24.3687,22.0542,25.0683,23.522,23.7378
P27797,CALR,Calreticulin,29.5301,29.7198,29.7612,31.4998,31.9067,32.0378
P27824,CANX,Calnexin,30.8518,29.9065,30.1056,32.0506,32.1841,30.9809
P28072,PSMB6,Proteasome subunit beta type-6,22.0352,22.4345,22.669,26.0811,23.5516,22.7527
P28331,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",29.454,29.5875,29.8489,30.8333,30.4015,30.3768
P28370,SMARCA1,Probable global transcription activator SNF2L1,25.1999,23.2898,20.5755,22.5427,24.1319,23.4488
P28799,GRN,Granulins,23.9965,20.3745,23.4961,27.4298,28.0554,28.1156
P28838,LAP3,Cytosol aminopeptidase,28.3531,28.43,28.2016,29.0042,28.7412,28.6382
P29317,EPHA2,Ephrin type-A receptor 2,20.9244,22.3432,20.8794,24.814,25.6827,22.8731
P29372,MPG,DNA-3-methyladenine glycosylase,23.7845,23.0591,23.632,24.4008,23.5475,24.0695
P29401,TKT,Transketolase,29.0631,29.089,29.2016,29.9671,28.298,28.5998
P29692,EEF1D,Elongation factor 1-delta,25.4669,28.0221,26.4673,27.6373,26.8356,26.7234
P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate,24.6074,25.4927,23.5063,27.3913,27.2999,26.9166
P30040,ERP29,Endoplasmic reticulum resident protein 29,27.0267,28.416,28.3448,28.6616,28.4846,28.5611
P30041,PRDX6,Peroxiredoxin-6,25.4084,27.2612,27.1003,27.8088,27.6411,27.8477
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",25.8996,27.1621,27.3176,27.5772,27.4026,27.8192
P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",30.3305,31.0504,31.2465,32.4518,32.3594,32.5707
P30050,RPL12,60S ribosomal protein L12,29.9892,30.0721,29.9775,30.0041,30.0173,29.7067
P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial",28.1194,28.7021,29.2895,29.5669,29.756,29.9477
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1,24.1562,24.1038,23.8554,24.0723,22.1053,20.9561
P30101,PDIA3,Protein disulfide-isomerase A3,31.4901,32.207,32.1908,34.174,34.236,34.3893
P30153,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,27.6485,27.7934,27.758,29.7261,29.0495,29.3066
P30405,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",27.3237,28.67,28.718,28.4233,28.5558,28.8847
P30519,HMOX2,Heme oxygenase 2,27.3143,21.1511,24.4803,28.7947,28.7655,27.1507
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,28.1495,28.0277,27.8739,30.7185,30.9614,30.6209
P30536,TSPO,Translocator protein,26.1682,22.5822,25.3794,25.789,26.2253,25.3186
P30825,SLC7A1,High affinity cationic amino acid transporter 1,23.6996,22.9199,21.9262,22.7187,24.4588,21.8632
P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",29.3613,29.8483,29.6061,29.96,29.9903,30.2283
P30876,POLR2B,DNA-directed RNA polymerase II subunit RPB2,28.5036,26.5063,27.7077,26.1169,26.3623,26.6408
P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",29.8764,29.8055,29.7751,31.4066,31.0583,31.2897
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2,23.9217,24.9319,24.2677,27.5948,26.0325,26.0243
P31689,DNAJA1,DnaJ homolog subfamily A member 1,24.0428,25.7387,24.4967,26.9585,26.614,26.3671
P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",30.8412,30.969,30.9776,31.611,31.6191,31.5034
P31937,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",23.3921,23.766,24.5792,25.921,25.6651,26.7993
P31939,ATIC,Bifunctional purine biosynthesis protein PURH,26.653,26.7689,26.8315,27.8783,26.9136,26.3582
P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,28.7202,29.1088,29.0944,28.7855,29.2397,29.5659
P31943,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,31.3286,31.686,31.7811,31.3408,31.7224,31.8859
P31946,YWHAB,14-3-3 protein beta/alpha,26.7314,27.5203,27.2612,27.828,26.9385,27.1569
P31948,STIP1,Stress-induced-phosphoprotein 1,26.9665,27.8231,27.5146,29.2635,27.5842,27.8547
P32119,PRDX2,Peroxiredoxin-2,25.7183,27.7911,27.3007,28.8817,28.0781,27.8682
P32189,GK,Glycerol kinase,22.2216,21.4122,20.8496,24.2886,23.4302,22.3487
P32322,PYCR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial",24.8825,25.4169,25.0747,26.6734,26.3804,26.1701
P32780,GTF2H1,General transcription factor IIH subunit 1,21.9248,21.9032,21.1773,22.5463,21.4892,22.1342
P32969,RPL9,60S ribosomal protein L9,29.8867,28.9279,28.7654,29.331,28.7544,28.8176
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,23.4659,21.9134,22.0595,24.3518,24.0511,23.2251
P33176,KIF5B,Kinesin-1 heavy chain,25.6688,22.5164,22.7473,27.5551,27.5191,22.749
P33240,CSTF2,Cleavage stimulation factor subunit 2,23.0661,27.1326,27.1547,26.4251,26.5071,27.0329
P33991,MCM4,DNA replication licensing factor MCM4,25.7101,24.9373,25.3729,26.8175,26.5817,26.2657
P33992,MCM5,DNA replication licensing factor MCM5,26.5229,26.7161,26.671,27.7971,27.3587,27.3117
P33993,MCM7,DNA replication licensing factor MCM7,27.3328,27.0074,26.9338,28.6437,27.8837,28.4603
P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",31.925,31.8136,31.6048,31.938,31.9911,31.7296
P34931,HSPA1L,Heat shock 70 kDa protein 1-like,22.663,20.6841,23.0842,25.8323,25.7057,26.099
P34932,HSPA4,Heat shock 70 kDa protein 4,28.3143,27.8797,27.6564,28.7699,28.5005,27.8509
P35221,CTNNA1,Catenin alpha-1,29.078,28.7129,29.0207,29.5475,29.513,29.3118
P35222,CTNNB1,Catenin beta-1,27.9368,27.3382,27.5284,28.9232,29.0953,28.6502
P35232,PHB,Prohibitin,31.37,31.7353,31.2471,32.1205,32.287,32.4666
P35241,RDX,Radixin,26.4266,26.8786,26.7273,28.2209,28.4342,28.1502
P35249,RFC4,Replication factor C subunit 4,26.4912,26.267,26.4267,27.5827,27.0332,27.562
P35250,RFC2,Replication factor C subunit 2,25.9498,22.9156,25.6981,26.8134,27.1463,26.2597
P35251,RFC1,Replication factor C subunit 1,26.6314,25.4842,24.7125,25.297,25.7737,24.3215
P35268,RPL22,60S ribosomal protein L22,28.4762,28.6093,28.1819,28.892,28.8782,28.8825
P35527,KRT9,"Keratin, type I cytoskeletal 9",30.5081,32.4375,32.1389,31.2278,32.213,29.8268
P35556,FBN2,Fibrillin-2,22.6259,21.1517,21.4411,21.4372,24.0236,23.929
P35579,MYH9,Myosin-9,26.9615,25.1227,26.0064,26.9249,25.733,24.8344
P35580,MYH10,Myosin-10,27.5678,25.9112,26.3811,27.7996,26.9,25.9935
P35606,COPB2,Coatomer subunit beta',26.3174,26.4884,26.7213,28.8444,28.6548,28.4018
P35610,SOAT1,Sterol O-acyltransferase 1,24.9169,23.1447,21.5579,25.1465,25.1401,22.3673
P35611,ADD1,Alpha-adducin,26.8012,25.3914,26.5007,27.7887,27.1494,27.0171
P35613,BSG,Basigin,29.5184,29.4571,29.9329,32.1119,32.4634,31.9636
P35637,FUS,RNA-binding protein FUS,28.1171,29.1145,29.1956,28.8301,28.7952,29.6484
P35658,NUP214,Nuclear pore complex protein Nup214,28.2706,27.8864,27.4718,28.5663,28.7031,28.093
P35659,DEK,Protein DEK,29.1172,28.8707,28.9193,28.6829,29.1957,29.1478
P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",30.8197,31.7138,32.7147,32.6544,29.7939,30.8995
P35998,PSMC2,26S proteasome regulatory subunit 7,22.7301,22.6276,22.4617,23.446,22.099,22.0327
P36542,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",28.7861,28.721,28.4496,29.6558,29.5385,29.7727
P36543,ATP6V1E1,V-type proton ATPase subunit E 1,23.7762,23.9551,23.8536,24.9718,25.0369,23.0683
P36551,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",26.7616,26.7814,26.1142,28.2867,27.8473,27.8566
P36578,RPL4,60S ribosomal protein L4,33.0301,31.3566,30.8971,30.9777,30.6823,30.7217
P36776,LONP1,"Lon protease homolog, mitochondrial",30.1728,29.8959,29.7268,30.9759,31.0607,31.0462
P36873,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,27.8668,27.3299,27.7473,28.6105,28.3527,27.816
P36957,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",26.9685,26.7938,27.1198,27.8911,27.7771,27.9376
P37108,SRP14,Signal recognition particle 14 kDa protein,26.5763,27.3295,26.5553,26.4464,26.0717,26.4777
P37198,NUP62,Nuclear pore glycoprotein p62,24.8374,25.6804,25.6438,26.047,26.6063,26.8739
P37268,FDFT1,Squalene synthase,22.4971,22.276,20.4458,23.2941,24.6708,23.0523
P37802,TAGLN2,Transgelin-2,22.4553,25.5397,26.0586,25.2889,24.3546,23.9151
P37837,TALDO1,Transaldolase,22.3746,23.4633,21.7005,28.336,23.2441,26.677
P38117,ETFB,Electron transfer flavoprotein subunit beta,28.5768,29.4774,29.2119,28.7808,29.1811,29.2729
P38159,RBMX,"RNA-binding motif protein, X chromosome",31.0928,31.2613,31.2644,30.1349,30.4597,30.9092
P38432,COIL,Coilin,27.0204,26.0978,26.9577,25.813,26.8988,26.9069
P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,21.7646,20.7407,22.1722,25.4434,26.5803,27.0654
P38606,ATP6V1A,V-type proton ATPase catalytic subunit A,27.0309,26.9631,27.5466,29.6099,29.089,29.1446
P38646,HSPA9,"Stress-70 protein, mitochondrial",32.3779,32.7727,32.7255,33.882,34.1699,34.2301
P38919,EIF4A3,Eukaryotic initiation factor 4A-III,30.658,30.391,30.457,30.854,30.5634,30.589
P39019,RPS19,40S ribosomal protein S19,27.2798,27.9866,28.0663,28.1995,27.5089,27.6088
P39023,RPL3,60S ribosomal protein L3,32.43,30.9633,30.3692,30.5023,30.1041,30.1524
P39210,MPV17,Protein Mpv17,22.0973,20.6741,21.866,20.7204,22.9918,23.1368
P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,28.0999,26.9168,27.7211,29.2331,30.132,28.8087
P39687,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,25.2073,25.4803,25.2274,25.9266,24.5962,25.1699
P39748,FEN1,Flap endonuclease 1,20.8975,21.3139,20.9267,20.7177,20.3986,19.8071
P39880,CUX1,Homeobox protein cut-like 1,23.5956,23.3988,23.4204,23.0612,23.8992,21.6143
P40189,IL6ST,Interleukin-6 receptor subunit beta,21.0869,21.5622,22.9139,22.7915,23.823,24.3375
P40227,CCT6A,T-complex protein 1 subunit zeta,28.2806,28.215,27.9561,29.7929,28.7258,28.6282
P40429,RPL13A,60S ribosomal protein L13a,31.2555,30.9833,29.4433,29.4679,29.3153,29.0636
P40925,MDH1,"Malate dehydrogenase, cytoplasmic",26.2982,25.6636,21.9574,27.429,25.4274,22.0724
P40926,MDH2,"Malate dehydrogenase, mitochondrial",32.2719,32.9056,33.113,33.6882,33.7578,33.8725
P40937,RFC5,Replication factor C subunit 5,24.8875,21.5274,24.4185,25.5933,25.747,25.5025
P40938,RFC3,Replication factor C subunit 3,24.2802,22.8412,24.0652,24.3161,26.1212,25.4963
P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",31.0614,30.6663,30.7175,31.6583,31.9358,31.8807
P41091,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,26.5869,26.3256,26.4328,28.2869,27.0589,25.8951
P41223,BUD31,Protein BUD31 homolog,26.1549,23.9211,25.2228,23.9071,25.0181,24.7851
P41250,GARS,Glycine--tRNA ligase,25.5861,23.1119,24.7843,27.7434,26.3887,27.1251
P41252,IARS,"Isoleucine--tRNA ligase, cytoplasmic",24.8845,22.3043,22.0389,26.4835,26.2344,26.3767
P41732,TSPAN7,Tetraspanin-7,21.6081,21.7276,21.6762,25.3035,26.3269,24.91
P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",30.297,30.3556,29.8678,29.8622,29.8246,30.1979
P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha",24.8794,26.5643,27.2449,25.7307,25.892,25.7779
P42167,TMPO,"Lamina-associated polypeptide 2, isoforms beta/gamma",31.0749,30.5497,30.8201,31.4418,31.7706,30.4248
P42229,STAT5A,Signal transducer and activator of transcription 5A,22.6366,22.5609,23.2827,23.4092,23.8841,24.1883
P42285,MTREX,Exosome RNA helicase MTR4,29.8374,28.8992,29.2683,29.4945,30.0832,29.0594
P42677,RPS27,40S ribosomal protein S27,27.5633,25.1841,26.4872,27.3806,25.949,26.47
P42696,RBM34,RNA-binding protein 34,29.3671,27.6685,27.4928,26.5229,27.2404,27.0898
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",32.1864,31.8364,32.0077,33.4784,33.5506,33.3485
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",25.2348,24.3116,22.973,25.4518,26.1024,25.4116
P42766,RPL35,60S ribosomal protein L35,29.388,29.1985,28.2349,26.966,28.529,27.3597
P42785,PRCP,Lysosomal Pro-X carboxypeptidase,25.5704,25.9199,24.3811,30.3606,30.1379,30.3677
P42892,ECE1,Endothelin-converting enzyme 1,21.7368,20.6193,21.2448,25.4592,26.508,24.3878
P43003,SLC1A3,Excitatory amino acid transporter 1,22.576,22.6856,22.5217,22.5167,23.0892,22.6939
P43121,MCAM,Cell surface glycoprotein MUC18,23.7241,22.8802,22.3167,26.4122,26.9886,26.3396
P43243,MATR3,Matrin-3,32.7641,32.4507,32.7936,32.3905,32.8017,32.7034
P43246,MSH2,DNA mismatch repair protein Msh2,21.6963,20.6402,21.5487,24.5097,24.5519,21.9756
P43251,BTD,Biotinidase,21.0116,22.4045,21.1874,26.0569,24.8732,25.1294
P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",27.3844,24.4915,25.3041,29.4888,28.9441,28.3869
P43307,SSR1,Translocon-associated protein subunit alpha,25.8255,22.9101,21.766,27.5724,28.1563,27.946
P43487,RANBP1,Ran-specific GTPase-activating protein,23.4793,21.187,22.3383,25.6633,24.3069,25.2546
P43686,PSMC4,26S proteasome regulatory subunit 6B,22.3892,22.3891,22.3439,23.7925,23.3062,23.5983
P43897,TSFM,"Elongation factor Ts, mitochondrial",27.574,27.0335,25.6082,27.5776,26.7628,26.0364
P45877,PPIC,Peptidyl-prolyl cis-trans isomerase C,21.5307,22.9827,22.3802,24.4765,24.7812,26.1865
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,30.7734,30.4269,30.5862,31.9564,32.0735,31.1314
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",25.812,26.2458,25.2697,27.6494,27.6468,27.0605
P45973,CBX5,Chromobox protein homolog 5,25.6265,26.4634,24.982,23.2337,24.9843,25.3667
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,21.5694,21.8429,21.3057,25.085,23.1182,22.9997
P46013,MKI67,Proliferation marker protein Ki-67,31.0515,29.545,30.0129,28.2835,28.881,28.718
P46060,RANGAP1,Ran GTPase-activating protein 1,29.4926,29.2394,29.4313,30.5379,30.2687,30.2002
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,32.0361,30.9247,30.8111,30.1308,30.4043,29.9705
P46199,MTIF2,"Translation initiation factor IF-2, mitochondrial",24.1253,23.8966,24.0658,24.594,24.3694,24.4452
P46379,BAG6,Large proline-rich protein BAG6,22.1347,21.6757,20.6719,25.3608,23.6618,23.7881
P46459,NSF,Vesicle-fusing ATPase,27.8687,27.242,27.1667,28.897,29.2886,29.1754
P46776,RPL27A,60S ribosomal protein L27a,30.4083,29.4792,28.7675,28.7405,28.6109,28.5577
P46777,RPL5,60S ribosomal protein L5,31.3061,30.1957,29.6319,29.6682,29.0935,29.3855
P46778,RPL21,60S ribosomal protein L21,29.7445,29.0105,28.7154,28.7559,28.217,28.1928
P46779,RPL28,60S ribosomal protein L28,29.4255,29.5216,28.4339,28.3455,28.5753,28.222
P46781,RPS9,40S ribosomal protein S9,30.3311,29.5958,28.8813,29.5083,29.0875,28.8297
P46782,RPS5,40S ribosomal protein S5,28.8735,27.9532,28.1436,27.8476,27.8,27.7259
P46783,RPS10,40S ribosomal protein S10,27.6234,24.2039,25.8779,27.7142,27.4347,27.3455
P46939,UTRN,Utrophin,26.4434,26.2623,26.1916,26.6605,25.0964,24.1102
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,23.5291,22.7299,22.4324,25.366,24.3921,26.3829
P46977,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,26.5638,24.6228,24.3573,26.9988,27.405,25.0517
P47756,CAPZB,F-actin-capping protein subunit beta,25.4811,26.1318,26.1799,27.0107,26.9848,26.5373
P47897,QARS,Glutamine--tRNA ligase,25.5789,22.2774,22.7376,25.0428,24.5876,24.1618
P47914,RPL29,60S ribosomal protein L29,29.326,28.7134,28.1057,27.062,27.8904,27.0319
P47985,UQCRFS1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",27.9134,28.6455,27.4565,28.8069,28.6979,28.7007
P48047,ATP5O,"ATP synthase subunit O, mitochondrial",28.8407,29.8938,30.0525,30.1129,30.0521,30.0551
P48444,ARCN1,Coatomer subunit delta,24.81,20.7185,24.7534,26.6592,25.7947,25.5663
